Reference,Value,Footprint,Internal Part Number,Populated,Distributor,Distributor PN
J1,Board to Board,Pin_Headers:Pin_Header_Angled_1x11_Pitch2.54mm,1-0000422,1.0,Digikey,SAM1051-11-ND
U1,LaserDiode,lib_fp:LaserDiode,,,NA,NA
